ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0325,47.5,6.3,38.5
0326,37.9,5.6,27.4
0327,70.9,4.9,38.2
0328,83.2,15.4,29.5
0329,63.3,6.1,38.9
0330,56.2,0.0,37.3
0331,28.2,7.3,19.5
0332,35.4,30.3,33.1
0333,49.7,33.6,40.8
0334,56.2,20.6,45.0
0335,41.4,30.7,34.0
0336,38.4,3.7,24.1
0337,106.4,75.0,83.8
0338,38.2,0.0,27.3
0339,113.9,23.3,48.4
0340,30.5,4.3,22.4
0341,61.3,15.2,37.4
0342,36.2,0.0,23.8
0343,113.8,0.0,14.5
0344,95.1,21.9,47.1
0345,59.3,28.3,36.3
0346,96.4,8.2,41.2
0347,19.7,0.0,10.0
0348,72.0,0.5,11.9
0349,30.7,4.2,23.2
0350,31.0,0.0,4.9
0351,137.7,0.0,15.8
0352,34.4,4.3,26.9
0353,7.6,0.0,1.6
0354,10.3,8.5,9.1
0355,8.6,5.7,7.7
0356,30.6,4.2,22.0
0357,21.1,0.0,3.1
0358,72.6,31.1,41.8
0359,33.9,4.3,25.6
0360,71.3,0.0,7.4
0361,38.3,13.8,33.7
0362,41.8,27.5,37.0
0363,39.5,30.1,34.1
0364,41.3,13.7,31.8
0365,39.3,32.8,36.2
0366,10.7,6.8,9.2
0367,123.1,0.0,7.1
0368,41.8,17.1,34.1
0369,81.1,27.3,47.3
0370,40.8,19.4,35.3
0371,36.1,36.1,36.1
0372,6.3,0.9,2.7
0373,40.8,15.7,32.7
0374,38.5,26.0,34.6
0375,36.0,27.4,32.3
0376,14.8,6.3,10.6
0377,41.7,18.3,34.3
0379,37.7,28.3,35.0
0380,13.7,4.2,9.4
0381,31.9,12.3,23.8
0382,19.3,19.3,19.3
0383,15.3,7.8,11.2
0384,22.0,11.6,19.2
0385,43.5,25.0,37.9
0386,37.6,26.9,35.3
0387,30.8,30.8,30.8
0388,60.3,34.2,43.1
0389,42.8,29.9,38.4
0391,37.6,32.0,33.9
0392,14.7,12.4,13.3
0393,40.7,19.7,35.5
0394,54.0,30.4,41.0
0395,41.6,41.6,41.6
0396,33.2,21.1,30.6
0397,47.6,27.5,33.2
0398,45.2,33.4,40.8
0399,41.4,22.6,36.7
0400,9.6,0.0,4.8
0401,56.0,7.8,38.7
0402,2.6,0.0,1.6
0403,86.5,7.6,33.0
0405,20.9,18.2,19.0
0406,16.3,0.0,3.6
0407,118.4,33.2,42.6
0408,20.6,10.9,16.4
0409,7.3,0.0,0.8
0410,101.9,20.4,45.3
0411,73.5,9.1,39.1
0412,88.2,2.0,39.5
0413,53.7,0.0,20.7
0414,49.3,12.1,29.0
0415,103.4,10.7,42.3
0416,26.3,22.0,25.0
0417,52.7,6.3,31.7
0418,0.0,0.0,0.0
0419,29.4,11.7,17.3
0420,0.0,0.0,0.0
0421,30.2,30.2,30.2
0422,30.9,7.5,25.7
0423,25.7,25.7,25.7
0424,36.1,23.3,30.4
0425,74.1,15.3,39.0
0426,25.7,5.8,21.6
0427,29.8,11.5,23.5
0428,26.5,8.4,20.6
0429,38.3,9.7,15.1
0431,23.9,12.0,20.3
0432,73.4,26.3,50.1
0433,141.7,34.5,63.5
0434,13.5,13.5,13.5
0435,88.9,13.5,44.4
0436,30.9,11.8,23.0
0437,78.3,11.1,37.2
0438,0.0,0.0,0.0
0439,15.6,15.6,15.6
0440,61.1,6.3,29.1
0441,32.7,14.1,18.1
0442,42.6,15.0,36.3
0443,10.6,0.0,7.0
0444,95.9,16.5,43.4
0445,88.5,21.3,51.1
0446,84.9,18.0,39.7
0447,8.3,0.0,3.6
0448,62.0,12.4,21.2
0449,10.6,0.0,3.9
0450,9.0,0.0,4.0
0451,19.6,0.0,4.5
0452,73.3,20.6,54.2
0453,23.1,0.0,7.0
0454,12.3,0.0,6.5
0455,71.6,14.8,39.3
0456,7.5,0.0,4.6
