ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0317,70.8,4.8,42.9
0318,25.3,5.3,16.4
0319,69.5,5.1,39.3
0320,2.5,0.0,1.2
0321,58.4,0.6,37.9
0322,34.5,13.9,18.7
0323,65.9,2.0,32.2
0324,23.2,0.0,10.7
0325,51.5,9.2,38.4
0326,15.6,0.0,5.6
0327,67.6,27.5,41.2
0328,136.3,13.3,90.8
0329,85.0,30.1,52.5
0330,98.8,0.0,22.7
0331,52.4,4.7,33.7
0332,90.9,48.4,69.7
0333,56.5,20.0,28.4
0334,34.0,0.9,25.1
0335,36.0,0.1,9.3
0336,42.0,2.3,10.6
0337,104.4,0.0,51.5
0338,40.6,2.0,30.4
0339,57.0,26.1,31.7
0340,20.8,0.0,7.9
0341,24.4,0.0,7.0
0342,3.6,0.0,2.1
0343,64.5,21.1,47.7
0344,76.5,34.5,45.1
0345,60.4,0.0,15.0
0346,67.7,8.9,21.3
0347,28.5,0.0,8.3
0348,0.0,0.0,0.0
0349,52.6,4.0,29.7
0350,66.4,0.0,30.9
0351,113.8,76.9,95.3
0352,43.3,0.0,13.4
0353,28.7,0.0,20.0
0355,77.7,25.9,47.5
0356,24.0,5.9,13.0
0357,7.5,0.0,1.2
0358,82.1,20.9,30.8
0359,50.0,0.0,34.7
0360,124.9,2.4,14.3
0361,80.1,4.1,58.3
0362,18.4,0.0,8.5
0363,75.1,8.3,18.6
0364,81.9,33.8,62.9
0365,99.5,30.0,50.6
0367,42.4,22.9,31.2
0368,7.7,3.2,5.5
0369,35.3,0.0,12.3
0370,40.7,0.0,18.1
0371,6.0,0.0,4.3
0372,73.8,12.1,26.8
0373,26.0,0.0,13.5
0374,36.0,0.0,21.0
0375,33.7,0.0,13.8
0377,59.7,28.5,37.6
0378,18.9,0.0,12.9
0379,31.4,0.0,20.0
0380,57.5,0.0,28.0
0381,28.0,0.0,15.6
0382,37.7,4.1,17.3
0383,47.0,4.2,19.5
0384,31.7,0.0,20.7
0385,82.8,0.8,12.0
0386,87.0,2.1,43.3
0387,47.9,12.0,24.4
0388,50.7,5.9,28.8
0389,39.6,3.3,23.8
0390,34.7,0.0,23.0
0391,17.2,0.0,9.4
0392,44.4,12.8,18.5
0393,12.1,0.0,7.1
0394,73.5,30.2,46.6
0395,15.8,6.1,9.2
0396,19.1,0.0,10.4
0397,60.2,26.5,43.8
0399,32.3,0.0,25.6
0400,33.8,0.0,14.4
0401,13.5,0.0,6.5
0402,33.2,33.1,33.1
0403,22.1,0.0,8.8
0404,5.2,5.2,5.2
0405,37.3,0.0,24.2
0406,92.9,0.0,29.1
0407,76.2,0.0,32.7
0408,37.5,0.0,23.8
0410,72.4,22.4,52.0
0411,36.6,0.0,20.7
0412,57.7,0.0,42.5
0413,41.3,41.3,41.3
0414,58.6,38.9,46.2
0415,46.4,1.9,30.3
0417,79.8,30.9,49.7
0418,73.6,10.2,29.2
0419,141.1,15.5,31.6
0420,37.2,14.7,24.7
0421,70.1,46.9,58.5
0422,18.4,0.0,12.2
0423,47.7,0.0,31.3
0424,27.8,0.6,7.0
0425,93.3,12.4,49.5
0426,73.7,17.3,53.6
0427,43.3,0.0,31.5
0428,18.6,0.0,9.3
0429,29.3,24.3,27.2
0430,44.7,0.0,35.2
0431,38.4,12.9,21.3
0432,50.2,0.0,33.1
0433,34.9,34.9,34.9
0434,76.3,0.0,40.0
0435,93.7,15.2,35.3
0436,23.1,0.0,12.9
0437,38.5,38.5,38.5
0438,51.6,2.0,10.9
0439,64.4,2.1,39.8
0440,102.7,40.9,57.4
0441,1.8,0.0,1.0
0442,31.6,2.0,7.9
0443,78.1,0.0,38.4
0444,73.9,43.2,55.4
0445,15.0,0.0,7.4
0447,72.3,0.0,37.7
0448,21.5,0.0,15.8
0449,73.3,46.2,57.1
0450,46.9,0.0,32.2
0451,86.4,64.8,75.6
0452,43.2,43.2,43.2
0454,110.8,25.9,55.4
0455,67.3,0.0,27.7
0456,56.0,0.0,41.4
0457,50.6,5.0,35.0
0458,7.4,0.0,2.8
0459,122.9,33.4,41.2
