ID,Max Velocity(km/h),Min Velocity(km/h),Avg Velocity(km/h)
0304,43.3,6.3,34.7
0305,29.1,0.0,19.6
0306,29.9,0.0,17.7
0307,46.4,19.6,37.0
0308,58.0,37.0,47.2
0309,53.1,14.2,28.7
0310,6.4,1.1,2.3
0311,95.5,36.1,45.6
0312,65.9,11.8,38.4
0313,47.2,8.7,34.5
0314,17.4,0.0,3.3
0315,63.4,28.6,48.2
0316,65.8,34.4,52.5
0317,10.9,0.0,5.8
0318,34.7,23.0,28.8
0319,56.7,30.9,48.2
0320,54.3,42.0,47.3
0321,56.9,34.8,49.5
0322,55.4,3.9,45.6
0323,62.6,33.7,52.7
0324,62.3,29.4,49.0
0325,61.7,28.8,50.2
0326,54.6,26.9,44.7
0327,62.2,29.1,52.1
0328,69.5,31.7,52.1
0329,68.3,0.0,53.1
0330,56.7,8.2,47.0
0331,55.0,1.5,43.9
0332,36.4,5.9,27.9
0333,55.0,34.5,50.4
0334,47.8,6.3,30.2
0335,57.4,5.2,46.2
0336,43.5,8.7,34.1
0337,25.0,0.0,9.2
0338,87.0,30.0,58.5
0339,4.9,0.0,2.0
0340,47.9,12.6,17.9
0341,65.3,65.3,65.3
0342,55.8,43.4,49.9
0343,62.7,41.6,45.8
0344,48.2,0.0,6.4
0345,45.6,11.1,28.8
0346,3.3,0.0,1.1
0347,21.4,4.3,11.7
0348,13.7,0.3,2.6
0349,45.3,8.8,28.1
0350,40.8,25.9,34.9
0351,8.1,8.1,8.1
0352,11.8,0.0,6.5
0353,29.1,1.5,22.3
0354,53.0,0.6,23.6
0355,14.4,0.0,9.5
0356,26.4,0.0,18.7
0357,0.0,0.0,0.0
0358,77.1,0.0,18.3
0359,14.5,0.0,6.9
0360,28.3,3.0,22.5
0361,0.0,0.0,0.0
0362,54.8,12.0,24.9
0363,5.0,0.0,3.1
0364,37.7,2.3,22.7
0365,50.3,28.2,32.8
0366,52.5,4.0,22.5
0367,46.6,0.0,6.6
0368,10.9,0.0,4.9
0369,8.4,4.1,6.4
0370,26.5,3.1,17.4
0371,36.4,9.2,22.5
0372,21.8,0.0,4.6
0373,0.0,0.0,0.0
0374,31.5,3.8,22.4
0375,17.4,0.0,10.9
0376,24.6,8.2,15.0
0377,38.9,1.5,28.3
0378,10.9,0.0,5.4
0379,37.4,28.6,32.9
0380,24.9,6.3,20.5
0381,28.2,13.6,21.2
0382,38.8,16.6,32.3
0383,43.3,3.1,28.3
0384,31.4,31.4,31.4
0385,39.4,11.8,29.5
0386,55.0,29.4,42.6
0387,85.7,6.2,33.4
0388,57.4,24.5,45.0
0389,33.5,0.0,25.1
0390,52.4,24.2,44.1
0391,51.4,3.1,39.5
0392,114.2,4.7,43.0
0393,44.4,3.1,33.3
0394,38.3,20.3,30.5
0395,62.6,30.9,52.0
0396,34.6,0.0,9.5
0397,51.9,24.8,33.7
0398,36.8,0.0,32.3
0399,64.7,8.5,38.4
